Ligand,Binding Affinity,rmsd/ub, rmsd/lb
protein_409363_uff_E=157.63,-5.7,3.193,2.222
protein_18525814_uff_E=193.84,-5.7,5.884,2.391
protein_11286656_uff_E=159.55,-5.7,4.603,3.063
protein_65416140_uff_E=167.33,-5.7,6.716,3.887
protein_163197295_uff_E=165.41,-5.7,3.651,2.775
protein_163197295_uff_E=165.41,-5.7,4.855,2.276
protein_163197295_uff_E=165.41,-5.7,3.825,2.507
protein_119576528_uff_E=414.77,-5.7,8.804,1.93
protein_119576528_uff_E=414.77,-5.7,1.723,1.242
protein_9589_uff_E=62.90,-5.6,4.375,2.695
protein_409363_uff_E=157.63,-5.6,6.095,4.953
protein_18525814_uff_E=193.84,-5.6,12.283,8.455
protein_18525814_uff_E=193.84,-5.6,10.437,8.413
protein_46780861_uff_E=525.33,-5.6,0,0
protein_46780861_uff_E=525.33,-5.6,2.383,1.659
protein_65416140_uff_E=167.33,-5.6,11.951,9.561
protein_163197295_uff_E=165.41,-5.6,3.008,1.462
protein_9589_uff_E=62.90,-5.5,3.105,2.147
protein_9589_uff_E=62.90,-5.5,3.7,2.208
protein_18525814_uff_E=193.84,-5.5,11.786,8.895
protein_11286656_uff_E=159.55,-5.5,12.93,10.981
protein_9589_uff_E=62.90,-5.3,3.914,2.258
protein_65416140_uff_E=167.33,-5.3,11.789,9.098
protein_9589_uff_E=62.90,-5.1,4.079,2.78
protein_9589_uff_E=62.90,-5.1,4.342,3.197
protein_9589_uff_E=62.90,-5.1,4.991,3.29
protein_9589_uff_E=62.90,-5,6.787,4.889
protein_46780861_uff_E=525.33,-3.7,4.745,2.136
protein_22505825_uff_E=119.44,-3.6,0,0
protein_22505825_uff_E=119.44,-3.5,4.849,2.834
protein_22505825_uff_E=119.44,-3.5,6.036,5.089
protein_22505825_uff_E=119.44,-3.4,5.2,4.077
protein_22505825_uff_E=119.44,-3.4,5.707,3.817
protein_22505825_uff_E=119.44,-3.4,5.73,4.343
protein_22505825_uff_E=119.44,-3.3,3.372,2.585
protein_22505825_uff_E=119.44,-3.3,5.516,4.146
protein_22505825_uff_E=119.44,-3.3,5.462,4.529
protein_163197296_uff_E=892.84,27.5,0,0
protein_163197296_uff_E=892.84,28.4,1.173,0.78
